id,champion1_team1,champion2_team1,champion3_1,champion4_team1,champion5_team1,champion1_team2,champion2_team2,champion3_team2,champion4_team2,champion5_team2,winner
18406,Ashe,Ekko,Malphite,Nautilus,Zoe,Darius,Gragas,Jhin,Ornn,Yasuo,team1
18407,Alistar,Caitlyn,Tahm Kench,Volibear,Zed,Blitzcrank,Kindred,Sett,Tristana,Twisted Fate,team2
18408,Ashe,Janna,Sett,Twisted Fate,Volibear,Blitzcrank,Jhin,Katarina,Tahm Kench,Warwick,team2
18409,Akali,Garen,Jhin,Olaf,Thresh,Brand,Ekko,Galio,Tahm Kench,Vayne,team1
18410,Blitzcrank,Camille,Diana,Hecarim,Lucian,Amumu,Galio,Jinx,Tahm Kench,Zed,team2
18411,Blitzcrank,Darius,Irelia,Miss Fortune,Xin Zhao,Jax,Nocturne,Pyke,Sett,Vayne,team1
18412,Caitlyn,Illaoi,Nunu & Willump,Pantheon,Veigar,Miss Fortune,Nautilus,Orianna,Warwick,Xin Zhao,team2
18413,Jhin,Lux,Nunu & Willump,Shen,Zed,Draven,Kayle,Lulu,Veigar,Volibear,team1
18414,Mordekaiser,Shyvana,Tristana,Yuumi,Zed,Akali,Sett,Taric,Varus,Zac,team1
18415,Akali,Kai'Sa,Tryndamere,Vel'Koz,Vi,Caitlyn,Poppy,Renekton,Shaco,Yasuo,team2
18416,Darius,Ezreal,Sylas,Volibear,Yuumi,Galio,Lux,Shen,Trundle,Vayne,team2
18417,Blitzcrank,Hecarim,Nasus,Vayne,Yone,Ashe,Cassiopeia,Poppy,Rakan,Zed,team2
18418,Jhin,Malzahar,Nunu & Willump,Rakan,Tryndamere,Ezreal,Jayce,Lissandra,Nidalee,Pyke,team1
18419,Lux,Miss Fortune,Rammus,Sion,Wukong,Kassadin,Nautilus,Riven,Yasuo,Yone,team1
18420,Ashe,Azir,Blitzcrank,Fiora,Zac,Hecarim,Jhin,Malzahar,Nautilus,Tryndamere,team1
18421,Aphelios,Nasus,Sejuani,Senna,Zed,Diana,Gangplank,Jinx,Sett,Sona,team1
18422,Ezreal,Fizz,Kayn,Nautilus,Riven,Gragas,Kassadin,Sett,Thresh,Twitch,team1
18423,Akali,Darius,Jhin,Lillia,Rek'Sai,Irelia,Master Yi,Nautilus,Twitch,Yasuo,team2
18424,Cho'Gath,Jax,Master Yi,Senna,Singed,Irelia,Karthus,Lee Sin,Teemo,Xayah,team2
18425,Caitlyn,Cassiopeia,Leona,Shen,Vi,Elise,Jayce,Jhin,Thresh,Yone,team1
18426,Ashe,Kindred,LeBlanc,Senna,Vladimir,Caitlyn,Cassiopeia,Kha'Zix,Nautilus,Sett,team1
18427,Evelynn,Jhin,Nasus,Swain,Sylas,Aphelios,Cassiopeia,Fiora,Morgana,Volibear,team2
18428,Cassiopeia,Hecarim,Illaoi,Lux,Senna,Kai'Sa,Malzahar,Nasus,Nautilus,Volibear,team1
18429,Kalista,Leona,Lillia,Viktor,Warwick,Jayce,Jinx,Lux,Maokai,Shaco,team1
18430,LeBlanc,Lucian,Lux,Malphite,Rek'Sai,Ashe,Camille,Wukong,Yasuo,Zilean,team2
18431,Diana,Lillia,Pyke,Xayah,Yone,Akali,Annie,Ezreal,Kayn,Zoe,team1
18432,Caitlyn,Malphite,Syndra,Thresh,Tryndamere,Jhin,Lillia,Pyke,Shen,Teemo,team2
18433,Draven,Shen,Taliyah,Yasuo,Yone,Lucian,Pyke,Senna,Vi,Warwick,team2
18434,Malzahar,Thresh,Urgot,Volibear,Yasuo,Corki,Jhin,Nunu & Willump,Riven,Soraka,team1
18435,Cho'Gath,Ezreal,Kayle,Kayn,Viktor,Irelia,Lucian,Morgana,Rengar,Zilean,team2
18436,Ashe,Jarvan IV,Malzahar,Pyke,Tryndamere,Ahri,Hecarim,Jhin,Nami,Nasus,team2
18437,Diana,Kayn,Sett,Yasuo,Yone,Kai'Sa,Lux,Olaf,Ornn,Soraka,team2
18438,Akali,Jax,Kayn,Thresh,Varus,Ekko,Lucian,Rengar,Sylas,Zyra,team1
18439,Ahri,Ashe,Karma,Kayn,Malphite,Blitzcrank,Jhin,Lillia,Sett,Teemo,team1
18440,Jinx,Shen,Soraka,Viktor,Volibear,Garen,Kayn,Kog'Maw,Lulu,Morgana,team2
18441,Cassiopeia,Draven,Lee Sin,Ornn,Zyra,Lulu,Nasus,Vayne,Vi,Yone,team1
18442,Ashe,Graves,Kayn,Morgana,Ziggs,Nami,Sett,Teemo,Viktor,Xayah,team1
18443,Aurelion Sol,Ezreal,Riven,Shen,Sona,Lucian,Mordekaiser,Rek'Sai,Vayne,Xerath,team2
18444,Camille,Galio,Jarvan IV,Jinx,Rakan,Braum,Corki,Kai'Sa,Kindred,Riven,team2
18445,Ashe,Gangplank,Gragas,Shen,Twisted Fate,Ashe,Lee Sin,Nami,Sylas,Yone,team2
18446,Kayn,Lucian,Mordekaiser,Nautilus,Sivir,Annie,Lillia,Miss Fortune,Senna,Volibear,team1
18447,Garen,Kalista,Master Yi,Thresh,Vladimir,Azir,Hecarim,Illaoi,Lucian,Pantheon,team1
18448,Blitzcrank,Illaoi,Kindred,Vayne,Zoe,Fiora,Gragas,Jinx,Leona,Lucian,team2
18449,Ashe,Ekko,Gnar,Yasuo,Yuumi,Graves,Kai'Sa,Lucian,Nasus,Pantheon,team1
18450,Caitlyn,Lillia,Mordekaiser,Sett,Zilean,Lucian,Nasus,Senna,Volibear,Zed,team1
18451,Gnar,Jhin,Nami,Warwick,Zoe,Diana,Kai'Sa,Kayn,Teemo,Yorick,team1
18452,Ahri,Caitlyn,Nautilus,Nunu & Willump,Shen,Kai'Sa,Lux,Quinn,Riven,Yone,team2
18453,Amumu,Lux,Sona,Wukong,Yone,Ezreal,Lux,Maokai,Olaf,Yone,team1
18454,Akali,Ezreal,Kindred,Sett,Zed,Akali,Gnar,Gragas,Heimerdinger,Maokai,team1
18455,Jhin,Senna,Volibear,Yone,Yorick,Garen,Kai'Sa,Master Yi,Pantheon,Sett,team2
18456,Kai'Sa,Lee Sin,Sett,Sona,Yone,Braum,Draven,Ivern,Maokai,Yone,team1
18457,Ekko,Gangplank,Neeko,Vayne,Zilean,Ezreal,Garen,Lillia,Maokai,Yuumi,team2
18458,Ezreal,Lillia,Maokai,Miss Fortune,Yuumi,Irelia,Kayle,Neeko,Pantheon,Yone,team1
18459,Aatrox,Kayn,Sylas,Twitch,Yuumi,Braum,Fizz,Lucian,Master Yi,Yorick,team2
18460,Brand,Caitlyn,Vayne,Volibear,Zed,Mordekaiser,Sejuani,Senna,Urgot,Vel'Koz,team1
18461,Neeko,Thresh,Urgot,Vayne,Vi,Hecarim,Jax,Kai'Sa,Orianna,Pyke,team2
18462,Irelia,Kalista,Mordekaiser,Thresh,Yasuo,Ahri,Brand,Sett,Xayah,Xin Zhao,team1
18463,Aatrox,Annie,Blitzcrank,Ezreal,Lillia,Jhin,Katarina,Pyke,Urgot,Zac,team2
18464,Akali,Ashe,Lillia,Mordekaiser,Morgana,Cassiopeia,Darius,Sett,Thresh,Tristana,team2
18465,Ahri,Jhin,Master Yi,Ornn,Pyke,Ashe,Diana,Jax,Lulu,Yorick,team2
18466,Fiddlesticks,Fiora,Kai'Sa,Leona,Orianna,Aphelios,Katarina,Poppy,Pyke,Urgot,team1
18467,Ekko,Ezreal,Garen,Lux,Yasuo,Caitlyn,Fiddlesticks,Malzahar,Sett,Thresh,team1
18468,Azir,Draven,Nasus,Sett,Xerath,Lucian,Lux,Nami,Shaco,Urgot,team2
18469,Ekko,Garen,Lucian,Nautilus,Yone,Cho'Gath,Jhin,Leona,Sett,Syndra,team2
18470,Janna,Jax,Jhin,Kayle,Vel'Koz,Malzahar,Nasus,Rengar,Twitch,Yuumi,team1
18471,Camille,Ezreal,Fiddlesticks,Soraka,Yasuo,Kayn,Miss Fortune,Morgana,Nasus,Yone,team2
18472,Irelia,Miss Fortune,Thresh,Volibear,Zed,Kayn,Morgana,Nasus,Ryze,Twitch,team1
18473,Kai'Sa,Leona,Lucian,Pantheon,Xin Zhao,Ashe,Teemo,Thresh,Warwick,Wukong,team2
18474,Ashe,Brand,Karma,Kindred,Shen,Jhin,Mordekaiser,Sylas,Thresh,Warwick,team1
18475,Diana,Ekko,Kled,Pyke,Varus,Corki,Garen,Jhin,Senna,Shaco,team2
18476,Alistar,Ashe,Karthus,Morgana,Quinn,Caitlyn,Graves,Kassadin,Senna,Urgot,team1
18477,Draven,Graves,Jax,Morgana,Ryze,Master Yi,Miss Fortune,Mordekaiser,Senna,Zed,team2
18478,Brand,Caitlyn,Garen,Hecarim,Vayne,Darius,Jax,Thresh,Tristana,Zed,team2
18479,Galio,Irelia,Kayn,Lulu,Twitch,Blitzcrank,Malphite,Nunu & Willump,Tryndamere,Vayne,team2
18480,Ahri,Braum,Sett,Twitch,Urgot,Draven,Malphite,Morgana,Warwick,Ziggs,team2
18481,Graves,Jhin,Mordekaiser,Orianna,Tahm Kench,Kayn,Renekton,Thresh,Twitch,Veigar,team2
18482,Cho'Gath,Katarina,Rek'Sai,Senna,Xerath,Ahri,Ashe,Kha'Zix,Morgana,Nasus,team2
18483,Ashe,Irelia,Lee Sin,Twitch,Urgot,Diana,Kayn,Senna,Shen,Swain,team2
18484,Kalista,Lux,Orianna,Shen,Udyr,Draven,Ivern,Morgana,Urgot,Yasuo,team1
18485,Jax,Jhin,Senna,Shen,Swain,Caitlyn,Fizz,Karma,Lucian,Master Yi,team1
18486,Brand,Irelia,Jhin,Karma,Volibear,Amumu,Lux,Miss Fortune,Morgana,Nasus,team2
18487,Karma,Mordekaiser,Orianna,Shyvana,Swain,Fizz,Jinx,Lillia,Lulu,Sion,team1
18488,Kha'Zix,Sona,Soraka,Veigar,Yorick,Aphelios,Fiora,Lillia,Morgana,Veigar,team2
18489,Darius,Ezreal,Janna,Kayn,Tryndamere,Blitzcrank,Gnar,Malphite,Twitch,Zac,team2
18490,Annie,Jhin,Kha'Zix,Lucian,Morgana,Caitlyn,Lillia,Poppy,Yasuo,Zac,team1
18491,Ashe,Graves,Orianna,Ornn,Tahm Kench,Kha'Zix,Pantheon,Soraka,Varus,Vladimir,team2
18492,Cho'Gath,Kai'Sa,Pantheon,Shyvana,Yone,Fiddlesticks,Nautilus,Rumble,Senna,Vladimir,team2
18493,Ashe,Kha'Zix,Sett,Soraka,Yasuo,Ahri,Bard,Brand,Kayn,Ornn,team2
18494,Bard,Ezreal,Kayle,Lee Sin,Urgot,Ekko,Illaoi,Thresh,Varus,Xin Zhao,team1
18495,Jarvan IV,Kayle,Miss Fortune,Neeko,Thresh,Ahri,Caitlyn,Hecarim,Senna,Teemo,team1
18496,Cho'Gath,Kha'Zix,Lulu,Miss Fortune,Sett,Caitlyn,Irelia,Karma,Katarina,Warwick,team1
18497,Ashe,Gangplank,Leona,Sylas,Wukong,Ezreal,Fiddlesticks,Sett,Soraka,Xin Zhao,team2
18498,Caitlyn,Fizz,Gnar,Nami,Sett,Ezreal,Kayn,Senna,Xerath,Xin Zhao,team1
18499,Ashe,Irelia,Kha'Zix,Yone,Yuumi,Lillia,Lucian,Miss Fortune,Sett,Zed,team2
18500,Ezreal,Kog'Maw,Neeko,Sona,Zed,Caitlyn,Neeko,Ornn,Pantheon,Pyke,team2
18501,Kalista,Kayle,Master Yi,Nami,Zed,Diana,Jhin,Nami,Nasus,Talon,team2
18502,Janna,Kai'Sa,Nasus,Sylas,Zed,Irelia,Lucian,Lulu,Lux,Sejuani,team2
18503,Galio,Kai'Sa,Morgana,Sett,Vi,Diana,Ezreal,Gnar,Nami,Nunu & Willump,team1
18504,Aphelios,Gnar,Irelia,Morgana,Xin Zhao,Akali,Caitlyn,Hecarim,Renekton,Thresh,team2
18505,Diana,Jinx,Kayn,Nasus,Nautilus,Garen,Lulu,Twitch,Veigar,Warwick,team2
18506,Irelia,Lulu,Skarner,Varus,Zyra,Ashe,Kha'Zix,Morgana,Ornn,Pantheon,team2
18507,Akali,Pyke,Shen,Twitch,Zed,Fiddlesticks,Nunu & Willump,Sivir,Veigar,Yone,team1
18508,Jhin,Lux,Mordekaiser,Teemo,Warwick,Aphelios,Heimerdinger,Lee Sin,Senna,Yone,team2
18509,Ahri,Ezreal,Lux,Mordekaiser,Sejuani,Aphelios,Heimerdinger,Rakan,Warwick,Yone,team2
18510,Anivia,Galio,Hecarim,Jhin,Urgot,Caitlyn,Irelia,Malphite,Rammus,Ziggs,team1
18511,Galio,Irelia,Nautilus,Rammus,Sivir,Jinx,Lillia,Mordekaiser,Thresh,Yone,team2
18512,Aurelion Sol,Gangplank,Lucian,Shyvana,Teemo,Caitlyn,Irelia,Nunu & Willump,Soraka,Xerath,team2
18513,Elise,Kayle,Pyke,Xayah,Yasuo,Ashe,Karthus,Lulu,Riven,Zac,team2
18514,Kha'Zix,LeBlanc,Rakan,Rumble,Xayah,Jayce,Jinx,Kayn,Mordekaiser,Thresh,team2
18515,Cho'Gath,Kai'Sa,Kled,Lulu,Warwick,Ahri,Caitlyn,Olaf,Taric,Twitch,team1
18516,Amumu,Jayce,Jhin,Morgana,Vladimir,Fizz,Urgot,Warwick,Yasuo,Yone,team1
18517,Katarina,Kayn,Quinn,Taric,Tristana,Sett,Syndra,Talon,Teemo,Thresh,team1
18518,Ashe,Ekko,Gangplank,Taric,Zed,Ahri,Jarvan IV,Kai'Sa,Leona,Teemo,team2
18519,Fiddlesticks,Lissandra,Lucian,Tryndamere,Zyra,Ashe,Ekko,Janna,Warwick,Yasuo,team1
18520,Jinx,Kayle,Lissandra,Vi,Zyra,Akali,Caitlyn,Jax,Shen,Thresh,team1
18521,Cho'Gath,Lissandra,Nunu & Willump,Tristana,Zyra,Ahri,Jinx,Rengar,Shen,Yuumi,team2
18522,Dr. Mundo,Kayn,Swain,Twitch,Yone,Ekko,Lucian,Lux,Maokai,Zyra,team1
18523,Annie,Kai'Sa,Lulu,Renekton,Udyr,Ezreal,Lee Sin,Orianna,Shen,Thresh,team1
18524,Akali,Master Yi,Renekton,Senna,Sona,Gnar,Karma,Kayn,Miss Fortune,Ryze,team1
18525,Irelia,Jarvan IV,Leona,Miss Fortune,Vladimir,Akali,Kled,Nidalee,Senna,Xayah,team1
18526,Akali,Caitlyn,Illaoi,Kennen,Warwick,Diana,Hecarim,Jax,Rakan,Xayah,team2
18527,Lulu,Orianna,Volibear,Xayah,Yone,Ezreal,Gragas,Sion,Yasuo,Ziggs,team2
18528,Jax,Lulu,Lux,Rammus,Twitch,Ahri,Caitlyn,Mordekaiser,Senna,Skarner,team2
18529,Galio,Gangplank,Leona,Miss Fortune,Warwick,Aatrox,Blitzcrank,Jhin,Nunu & Willump,Veigar,team2
18530,Ashe,Gnar,Lux,Nami,Nasus,Amumu,Blitzcrank,Jax,Jhin,Malphite,team2
18531,Alistar,Ashe,Master Yi,Tryndamere,Vladimir,Braum,Hecarim,Kai'Sa,Neeko,Vayne,team1
18532,Amumu,Ezreal,Mordekaiser,Senna,Urgot,Hecarim,Jhin,Ryze,Sylas,Thresh,team2
18533,Akali,Kayn,Teemo,Thresh,Xayah,Nami,Rengar,Riven,Vayne,Xerath,team2
18534,Lucian,Maokai,Thresh,Veigar,Vi,Anivia,Ashe,Lux,Skarner,Tryndamere,team2
18535,Aphelios,Galio,Morgana,Nunu & Willump,Wukong,Hecarim,Heimerdinger,Kai'Sa,Soraka,Vel'Koz,team1
18536,Akali,Corki,Mordekaiser,Sona,Teemo,Darius,Renekton,Riven,Tristana,Veigar,team1
18537,Anivia,Aphelios,Fizz,Nidalee,Yone,Akali,Ezreal,Mordekaiser,Sona,Teemo,team2
18538,Cho'Gath,Lissandra,Sett,Teemo,Vayne,Kayle,Qiyana,Rakan,Warwick,Xayah,team2
18539,Jinx,Kha'Zix,Leona,Malzahar,Urgot,Gangplank,Sett,Swain,Teemo,Vayne,team1
18540,Ekko,Illaoi,Jhin,Lee Sin,Nami,Ahri,Irelia,Kai'Sa,Kayn,Thresh,team1
18541,Caitlyn,Corki,Kayn,Lulu,Nasus,Ashe,Ekko,Leona,Sejuani,Teemo,team1
18542,Kai'Sa,Olaf,Poppy,Yasuo,Zyra,Amumu,Illaoi,Lucian,Malzahar,Morgana,team2
18543,Braum,Gnar,Lucian,Nunu & Willump,Yasuo,Alistar,Caitlyn,Illaoi,Kayn,Yone,team2
18544,Ashe,Janna,Rammus,Teemo,Vladimir,Amumu,Nami,Syndra,Tryndamere,Vayne,team2
18545,Fizz,Hecarim,Kalista,Leona,Sett,Darius,Jhin,Lux,Rengar,Zed,team2
18546,Galio,Kai'Sa,Lulu,Rammus,Yorick,Amumu,Garen,Soraka,Vayne,Volibear,team2
18547,Caitlyn,Diana,Evelynn,Kog'Maw,Veigar,Ahri,Senna,Sett,Sion,Volibear,team2
18548,Caitlyn,Evelynn,Gangplank,Yone,Zac,Camille,Fiora,Morgana,Vayne,Zoe,team2
18549,Evelynn,Lillia,Lucian,Warwick,Yone,Jax,Lux,Nocturne,Senna,Vayne,team2
18550,Evelynn,Shaco,Sion,Xin Zhao,Yasuo,Lucian,Morgana,Olaf,Tryndamere,Xerath,team2
18551,Caitlyn,Malphite,Nocturne,Thresh,Zoe,Galio,Hecarim,Irelia,Jinx,Zed,team1
18552,Ezreal,Jax,Lux,Rumble,Yone,Pyke,Teemo,Volibear,Xayah,Zed,team2
18553,Hecarim,Kai'Sa,Lux,Renekton,Zed,Ashe,Galio,Graves,Morgana,Urgot,team2
18554,Ahri,Illaoi,Kayn,Vayne,Yuumi,Fiddlesticks,Jhin,Maokai,Senna,Veigar,team1
18555,Kai'Sa,Kha'Zix,Mordekaiser,Nautilus,Zed,Blitzcrank,Cho'Gath,Jhin,Ryze,Volibear,team1
18556,Kayle,Kindred,Maokai,Miss Fortune,Yasuo,Jinx,Poppy,Shaco,Taliyah,Yone,team2
18557,Darius,Lee Sin,Lux,Twitch,Veigar,Brand,Gnar,Pyke,Vayne,Warwick,team1
18558,Jhin,Kayn,Morgana,Yasuo,Yone,Caitlyn,Darius,Master Yi,Neeko,Pyke,team2
18559,Jhin,Pantheon,Shen,Syndra,Volibear,Evelynn,Miss Fortune,Morgana,Rumble,Teemo,team1
18560,Dr. Mundo,Gragas,Lucian,Soraka,Zed,Ashe,Garen,Karthus,Katarina,Lulu,team1
18561,LeBlanc,Lux,Miss Fortune,Nocturne,Sett,Jhin,Lillia,Morgana,Pantheon,Yone,team1
18562,Caitlyn,Kayle,Nunu & Willump,Senna,Sona,Cassiopeia,Jinx,Master Yi,Sion,Taric,team1
18563,Akali,Irelia,Kayle,Sona,Yasuo,Karthus,Kayle,Leona,Taric,Trundle,team1
18564,Kayle,Pyke,Senna,Sona,Zed,Katarina,Malphite,Master Yi,Miss Fortune,Vayne,team1
18565,Lux,Mordekaiser,Veigar,Xin Zhao,Zed,Ashe,Master Yi,Renekton,Ziggs,Zyra,team1
18566,Akali,Illaoi,Kayle,Pyke,Zed,Cho'Gath,Olaf,Orianna,Soraka,Warwick,team1
18567,Gnar,Lillia,Lux,Yasuo,Zoe,Caitlyn,Jax,Nunu & Willump,Pyke,Ziggs,team1
18568,Annie,Hecarim,Jhin,Yorick,Ziggs,Jax,Jinx,Leona,Lissandra,Sett,team1
18569,Aatrox,Jax,Lucian,Lux,Rakan,Aphelios,Olaf,Shen,Tahm Kench,Viktor,team2
18570,Jarvan IV,Jinx,Rakan,Riven,Ryze,Janna,Lucian,Vayne,Vi,Yone,team2
18571,Akali,Kindred,Malphite,Miss Fortune,Mordekaiser,Ashe,Lee Sin,Riven,Swain,Talon,team2
18572,Lucian,Nautilus,Senna,Volibear,Zoe,Karthus,Nasus,Thresh,Vayne,Yone,team1
18573,Diana,Galio,Jhin,Maokai,Yasuo,Akali,Garen,Hecarim,Vayne,Zilean,team2
18574,Ekko,Galio,Jinx,Senna,Urgot,Ashe,Kayn,Mordekaiser,Nautilus,Poppy,team2
18575,Akali,Jhin,Karma,Nunu & Willump,Veigar,Garen,Jax,Soraka,Vayne,Yone,team1
18576,Ezreal,Hecarim,Irelia,Morgana,Zoe,Gragas,Kha'Zix,Lucian,Yone,Zilean,team1
18577,Mordekaiser,Morgana,Nocturne,Nunu & Willump,Sivir,Ezreal,Ornn,Shaco,Soraka,Yasuo,team2
18578,Ezreal,Garen,Jax,Malzahar,Soraka,Ekko,Swain,Taric,Tryndamere,Vi,team2
18579,Annie,Ezreal,Hecarim,Nasus,Soraka,Galio,Lee Sin,Renekton,Senna,Tristana,team1
18580,Draven,Lux,Nasus,Nocturne,Talon,Kalista,Lillia,Lucian,Taric,Teemo,team2
18581,Aphelios,Ekko,Kha'Zix,Soraka,Urgot,Caitlyn,Garen,Graves,Lux,Thresh,team2
18582,Braum,Hecarim,Twitch,Yasuo,Yone,Aatrox,Blitzcrank,Illaoi,Lucian,Lux,team1
18583,Graves,Neeko,Renekton,Vayne,Yuumi,Cho'Gath,Draven,Kayle,Lee Sin,Senna,team1
18584,Akali,Lux,Miss Fortune,Pantheon,Warwick,Master Yi,Neeko,Renekton,Senna,Xayah,team2
18585,Amumu,Aphelios,Maokai,Renekton,Zed,Darius,Draven,Jarvan IV,Neeko,Pyke,team2
18586,Evelynn,Kennen,Lillia,Neeko,Zoe,Ahri,Rumble,Sett,Vayne,Viktor,team2
18587,Fizz,Jhin,Olaf,Shen,Swain,Graves,Morgana,Neeko,Sion,Tristana,team2
18588,Lillia,Nasus,Nocturne,Tristana,Yuumi,Ashe,Darius,Nidalee,Pyke,Zed,team1
18589,Draven,Tristana,Twitch,Vayne,Xayah,Fiddlesticks,Lucian,Quinn,Vi,Yone,team2
18590,Camille,Ezreal,Morgana,Warwick,Zed,Jhin,Shen,Shyvana,Soraka,Viktor,team2
18591,Lux,Malzahar,Master Yi,Renekton,Twitch,Ahri,Kai'Sa,Ornn,Veigar,Warwick,team2
18592,Hecarim,Nasus,Ryze,Senna,Thresh,Leona,Syndra,Tahm Kench,Twitch,Warwick,team2
18593,Brand,Kalista,Kassadin,Kayn,Talon,Ahri,Jhin,Maokai,Thresh,Warwick,team1
18594,Corki,Rakan,Renekton,Senna,Warwick,Jinx,Lux,Master Yi,Shen,Vel'Koz,team2
18595,Garen,Jhin,Master Yi,Morgana,Xerath,Ashe,Rammus,Senna,Teemo,Zyra,team1
18596,Jarvan IV,Jax,Kai'Sa,Taric,Zed,Renekton,Senna,Swain,Viktor,Warwick,team2
18597,Kayn,Lillia,Taric,Tristana,Yone,Cho'Gath,Miss Fortune,Rakan,Warwick,Zed,team2
18598,Ekko,Jhin,Mordekaiser,Sett,Thresh,Annie,Evelynn,Renekton,Swain,Yuumi,team1
18599,Blitzcrank,Lux,Viktor,Volibear,Warwick,Ashe,Lee Sin,Sion,Thresh,Zed,team1
18600,Akali,Kassadin,Sejuani,Teemo,Thresh,Kai'Sa,Lee Sin,Neeko,Shaco,Sylas,team2
18601,Aphelios,Thresh,Trundle,Yasuo,Yone,Azir,Lee Sin,Teemo,Urgot,Zilean,team1
18602,Azir,Irelia,Master Yi,Miss Fortune,Nami,Ashe,LeBlanc,Shaco,Thresh,Vayne,team1
18603,Camille,Janna,Jarvan IV,Kalista,Yone,Ashe,Lux,Master Yi,Ornn,Thresh,team2
18604,Gangplank,Pantheon,Sejuani,Thresh,Varus,Irelia,Jax,Senna,Vi,Zoe,team2
18605,Hecarim,Shaco,Tryndamere,Xerath,Yasuo,Qiyana,Sejuani,Singed,Thresh,Varus,team1
18606,Ezreal,Mordekaiser,Nautilus,Poppy,Vladimir,Kha'Zix,Ryze,Soraka,Teemo,Tristana,team1
18607,Amumu,Malphite,Tristana,Wukong,Yone,Garen,Jhin,Lee Sin,Thresh,Yasuo,team1
18608,Hecarim,Lux,Miss Fortune,Urgot,Veigar,Aphelios,Leona,Teemo,Volibear,Ziggs,team1
18609,Bard,Urgot,Vayne,Volibear,Zed,Annie,Irelia,Jax,Kindred,Yasuo,team1
18610,Lee Sin,Mordekaiser,Rakan,Ryze,Vayne,Ekko,Jhin,Nasus,Pyke,Udyr,team1
18611,Fiora,Fizz,Graves,Kog'Maw,Zyra,Ivern,Jax,Katarina,Kindred,Shaco,team2
18612,Fiora,Jax,Jhin,Morgana,Vayne,Amumu,Ekko,Kalista,Thresh,Yasuo,team1
18613,Ashe,Lillia,Neeko,Teemo,Yuumi,Kassadin,Kha'Zix,Rakan,Rumble,Xayah,team1
18614,Galio,Janna,Jhin,Teemo,Xin Zhao,Lee Sin,Miss Fortune,Senna,Urgot,Vel'Koz,team2
18615,Bard,Lucian,Malzahar,Nocturne,Volibear,Galio,Garen,Kai'Sa,Kayn,Lissandra,team2
18616,Caitlyn,Darius,Elise,Thresh,Yone,Annie,Draven,Malphite,Nami,Wukong,team2
18617,Cassiopeia,Darius,Kai'Sa,Lee Sin,Soraka,Garen,Janna,Jhin,Malzahar,Rek'Sai,team2
18618,Camille,Lucian,Pyke,Shyvana,Syndra,Ashe,Garen,Lee Sin,Xerath,Zed,team2
18619,Ekko,Jhin,Kayn,Taric,Urgot,Caitlyn,Jax,Senna,Sylas,Vladimir,team2
18620,Garen,Lucian,Lux,Morgana,Warwick,Gnar,Kayn,Miss Fortune,Shaco,Sylas,team1
18621,Lillia,Lulu,Qiyana,Shen,Xayah,Aatrox,Caitlyn,Rakan,Yone,Zed,team1
18622,Ezreal,LeBlanc,Lee Sin,Leona,Miss Fortune,Cassiopeia,Cho'Gath,Tristana,Trundle,Zyra,team1
18623,Jhin,Kayle,Lux,Orianna,Vi,Caitlyn,Sett,Singed,Skarner,Vel'Koz,team2
18624,Malzahar,Tryndamere,Yone,Zoe,Zyra,Ahri,Katarina,Pantheon,Senna,Teemo,team1
18625,Akali,Draven,Nidalee,Vel'Koz,Zoe,Caitlyn,Ekko,Fiora,Sona,Warwick,team2
18626,Ezreal,Lee Sin,Morgana,Pantheon,Riven,Caitlyn,Irelia,Singed,Sion,Skarner,team2
18627,Akali,Aphelios,Karma,Kindred,Neeko,Garen,Jhin,Lux,Volibear,Zoe,team1
18628,Bard,Camille,Lillia,Tristana,Yone,Fiddlesticks,Miss Fortune,Qiyana,Urgot,Yuumi,team1
18629,Lucian,Pantheon,Sylas,Teemo,Tryndamere,Ashe,Fizz,Poppy,Senna,Shaco,team2
18630,Ahri,Akali,Jhin,Pyke,Sett,Akali,Caitlyn,Kayle,Lee Sin,Lux,team2
18631,Kayle,Miss Fortune,Shaco,Sona,Yone,Fizz,Jhin,Lee Sin,Sona,Tristana,team1
18632,Bard,Irelia,Lucian,Lux,Zed,Draven,Fizz,Kai'Sa,Morgana,Sett,team1
18633,Kayle,Rakan,Rammus,Xayah,Yone,Caitlyn,Master Yi,Morgana,Poppy,Veigar,team1
18634,Cho'Gath,Jayce,Lillia,Pyke,Senna,Fiora,Irelia,Jax,Miss Fortune,Shaco,team1
18635,Ezreal,Kayn,Nautilus,Trundle,Zed,Akali,Caitlyn,Master Yi,Pyke,Zed,team1
18636,Kai'Sa,Olaf,Pyke,Syndra,Urgot,Darius,Jinx,Lux,Malphite,Soraka,team1
18637,Amumu,Diana,Ezreal,Morgana,Xin Zhao,Darius,Ekko,Jhin,Pantheon,Yone,team2
18638,Blitzcrank,Evelynn,Ezreal,Kassadin,Renekton,Akali,Caitlyn,Graves,Yasuo,Yuumi,team1
18639,Azir,Graves,Nocturne,Shaco,Singed,Aatrox,Brand,Hecarim,Miss Fortune,Zed,team1
18640,Kai'Sa,Kled,Pyke,Sejuani,Yone,Blitzcrank,Cho'Gath,Galio,Rammus,Vayne,team2
18641,Corki,Kindred,Shen,Xayah,Yasuo,Hecarim,Kennen,LeBlanc,Pyke,Senna,team2
18642,Hecarim,Orianna,Quinn,Twitch,Yuumi,Caitlyn,Leona,Nasus,Vi,Ziggs,team2
